crop_name,Latitude,Longitude,status,source_db,database_id
triticum_turgidum,43.06666667,-5.76666667,G,USDA,USDA_280
triticum_turgidum,43.1,-5.8,G,USDA,USDA_299
triticum_turgidum,38.05,-4.06666667,G,USDA,USDA_300
triticum_turgidum,37.46666667,-5.63333333,G,USDA,USDA_374
triticum_turgidum,37.98333333,-4.28333333,G,USDA,USDA_375
triticum_turgidum,42.11666667,-1.78333333,G,USDA,USDA_378
triticum_turgidum,38.88333333,-2.13333333,G,USDA,USDA_379
triticum_turgidum,42.21666667,-1.68333333,G,USDA,USDA_382
triticum_turgidum,43.1,-5.8,G,USDA,USDA_383
triticum_turgidum,38.81666667,-1.55,G,USDA,USDA_388
triticum_turgidum,39.5,3,G,USDA,USDA_390
triticum_turgidum,42.96666667,-1.71666667,G,USDA,USDA_391
triticum_turgidum,36.91666667,-6.06666667,G,USDA,USDA_392
triticum_turgidum,37.93333333,-4.66666667,G,USDA,USDA_395
triticum_turgidum,37.38333333,-3.51666667,G,USDA,USDA_397
triticum_turgidum,38.56666667,-5.16666667,G,USDA,USDA_400
triticum_turgidum,39.15,-5.9,G,USDA,USDA_401
triticum_turgidum,37.6,-4.73333333,G,USDA,USDA_415
triticum_turgidum,37.48333333,-2.76666667,G,USDA,USDA_418
triticum_turgidum,39.85,-0.15,G,USDA,USDA_424
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_436
triticum_turgidum,38.41666667,-7.53333333,G,USDA,USDA_439
triticum_turgidum,39.6,-8.41666667,G,USDA,USDA_441
triticum_turgidum,38.36666667,-8.5,G,USDA,USDA_442
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_443
triticum_turgidum,39.65,-8.83333333,G,USDA,USDA_444
triticum_turgidum,39.15,-8.78333333,G,USDA,USDA_445
triticum_turgidum,39.23333333,-8.68333333,G,USDA,USDA_524
triticum_turgidum,37.6,-8.63333333,G,USDA,USDA_531
triticum_turgidum,39,-9.13333333,G,USDA,USDA_533
triticum_turgidum,39.7,-8.3,G,USDA,USDA_534
triticum_turgidum,40.03333333,-8.38333333,G,USDA,USDA_535
triticum_turgidum,39,-9.13333333,G,USDA,USDA_536
triticum_turgidum,39,-9.13333333,G,USDA,USDA_541
triticum_turgidum,39,-9.13333333,G,USDA,USDA_543
triticum_turgidum,39,-9.13333333,G,USDA,USDA_547
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_548
triticum_turgidum,37.93333333,-7.6,G,USDA,USDA_549
triticum_turgidum,39,-9.13333333,G,USDA,USDA_550
triticum_turgidum,39,-9.13333333,G,USDA,USDA_551
triticum_turgidum,39,-9.13333333,G,USDA,USDA_552
triticum_turgidum,39,-9.13333333,G,USDA,USDA_554
triticum_turgidum,39,-9.13333333,G,USDA,USDA_555
triticum_turgidum,39,-9.13333333,G,USDA,USDA_556
triticum_turgidum,39,-9.13333333,G,USDA,USDA_560
triticum_turgidum,37.73,-8.4,G,USDA,USDA_569
triticum_turgidum,39.15,-8.78333333,G,USDA,USDA_570
triticum_turgidum,39,-9.13333333,G,USDA,USDA_571
triticum_turgidum,37.63333333,-7.66666667,G,USDA,USDA_572
triticum_turgidum,38.01666667,-7.86666667,G,USDA,USDA_573
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_574
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_575
triticum_turgidum,39.81666667,-8.38333333,G,USDA,USDA_576
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_577
triticum_turgidum,37.01666667,-7.93333333,G,USDA,USDA_578
triticum_turgidum,39,-9.13333333,G,USDA,USDA_579
triticum_turgidum,39.85,-0.15,G,USDA,USDA_581
triticum_turgidum,38.88333333,-6.96666667,G,USDA,USDA_582
triticum_turgidum,39.23333333,-8.68333333,G,USDA,USDA_589
triticum_turgidum,40.82,-8.62,G,USDA,USDA_590
triticum_turgidum,38.75,-8.96666667,G,USDA,USDA_600
triticum_turgidum,39.55,-8.98333333,G,USDA,USDA_601
triticum_turgidum,39.08333333,-8.76666667,G,USDA,USDA_603
triticum_turgidum,39.91666667,-8.43333333,G,USDA,USDA_605
triticum_turgidum,38.01666667,-7.86666667,G,USDA,USDA_606
triticum_turgidum,39.55,-8.98333333,G,USDA,USDA_608
triticum_turgidum,40.71666667,-6.9,G,USDA,USDA_609
triticum_turgidum,39.6,-8.41666667,G,USDA,USDA_610
triticum_turgidum,40.15,-8.86666667,G,USDA,USDA_613
triticum_turgidum,38.83333333,-9.16666667,G,USDA,USDA_616
triticum_turgidum,38.16666667,-7.88333333,G,USDA,USDA_617
triticum_turgidum,38.33333333,-8,G,USDA,USDA_620
triticum_turgidum,39.01666667,-8.8,G,USDA,USDA_621
triticum_turgidum,38.16666667,-7.88333333,G,USDA,USDA_623
triticum_turgidum,37.12,-7.65,G,USDA,USDA_624
triticum_turgidum,39.73333333,-8.63333333,G,USDA,USDA_625
triticum_turgidum,38.01666667,-8.7,G,USDA,USDA_632
triticum_turgidum,37.01666667,-7.93333333,G,USDA,USDA_633
triticum_turgidum,37.13333333,-8.53333333,G,USDA,USDA_634
triticum_turgidum,38.91666667,-6.61666667,G,USDA,USDA_635
triticum_turgidum,39.88,-8.42,G,USDA,USDA_636
triticum_turgidum,37.11666667,-7.65,G,USDA,USDA_637
triticum_turgidum,39.6,-8.41666667,G,USDA,USDA_639
triticum_turgidum,39.6,-9.06666667,G,USDA,USDA_641
triticum_turgidum,39.55,-8.98333333,G,USDA,USDA_642
triticum_turgidum,38.85,-7.58333333,G,USDA,USDA_643
triticum_turgidum,40.03333333,-8.38333333,G,USDA,USDA_647
triticum_turgidum,39.55,-8.98333333,G,USDA,USDA_648
triticum_turgidum,37.86666667,-8.16666667,G,USDA,USDA_649
triticum_turgidum,39.7,-8.3,G,USDA,USDA_651
triticum_turgidum,39.91666667,-8.43333333,G,USDA,USDA_652
triticum_turgidum,37.73,-8.4,G,USDA,USDA_653
triticum_turgidum,37.63333333,-7.66666667,G,USDA,USDA_654
triticum_turgidum,40.13333333,-7.5,G,USDA,USDA_657
triticum_turgidum,40.05,-8.63333333,G,USDA,USDA_658
triticum_turgidum,38.83333333,-9.16666667,G,USDA,USDA_661
triticum_turgidum,38.33333333,-8,G,USDA,USDA_662
triticum_turgidum,38.16666667,-7.88333333,G,USDA,USDA_663
triticum_turgidum,39.55,-8.98333333,G,USDA,USDA_668
triticum_turgidum,37.93333333,-7.6,G,USDA,USDA_669
triticum_turgidum,37.08333333,-8.91666667,G,USDA,USDA_671
triticum_turgidum,39.23333333,-8.68333333,G,USDA,USDA_672
triticum_turgidum,37.13333333,-8.53333333,G,USDA,USDA_676
triticum_turgidum,37.01666667,-7.93333333,G,USDA,USDA_677
triticum_turgidum,37.93333333,-7.6,G,USDA,USDA_678
triticum_turgidum,37.86666667,-8.16666667,G,USDA,USDA_679
triticum_turgidum,38.01666667,-7.86666667,G,USDA,USDA_680
triticum_turgidum,39.6,-9.06666667,G,USDA,USDA_687
triticum_turgidum,38.41666667,-7.53333333,G,USDA,USDA_689
triticum_turgidum,37.01666667,-7.93333333,G,USDA,USDA_690
